Date,Price (USD)
2022-07-24,0.9116548453981529
2022-07-25,0.9270412796167481
2022-07-26,0.8577412348869042
2022-07-27,0.8773063058236495
2022-07-28,0.9804601940545443
2022-07-29,1.0910381341995141
2022-07-30,1.0540711971276604
2022-07-31,1.0031891040485708
2022-08-01,0.998271201480224
2022-08-02,1.0211707250194517
2022-08-03,1.0175253639129886
2022-08-04,1.0483413014897016
2022-08-05,1.0458298567885533
2022-08-06,1.128008019349075
2022-08-07,1.2291986640465504
2022-08-08,1.3302027550575095
2022-08-09,1.4072396384052235
2022-08-10,1.3836166824492067
2022-08-11,1.4945407531378854
2022-08-12,1.3761273061652808
2022-08-13,1.4111283511950987
2022-08-14,1.4262471205449803
2022-08-15,1.330468879087464
2022-08-16,1.2426421943247912
2022-08-17,1.2570450631788255
2022-08-18,1.2280218543858186
2022-08-19,1.241024042072694
2022-08-20,1.160928961595231
2022-08-21,1.204424311936775
2022-08-22,1.3030716049177107
2022-08-23,1.2991677172520932
2022-08-24,1.2906365462566782
2022-08-25,1.2035169267253871
2022-08-26,1.1859050002054545
2022-08-27,1.1554053457683136
2022-08-28,1.1128442096608626
2022-08-29,1.126476891609305
2022-08-30,1.1706744005530607
2022-08-31,1.1743103436357332
2022-09-01,1.1817969848860896
2022-09-02,1.1328149277955566
2022-09-03,1.1230241248757493
2022-09-04,1.0941469448259533
2022-09-05,1.0964097159745876
2022-09-06,1.056073967925213
2022-09-07,1.0384136766150744
2022-09-08,1.0578300331672896
2022-09-09,1.0956699085672041
2022-09-10,1.2411014234132571
2022-09-11,1.3122853474960157
2022-09-12,1.3129869526307811
2022-09-13,1.2735646162902732
2022-09-14,1.2117257071560712
2022-09-15,1.1674030115202623
2022-09-16,1.1120559640776093
2022-09-17,1.0462275329193156
2022-09-18,1.1205034522281936
2022-09-19,1.0140443389125195
2022-09-20,1.0357824440618482
2022-09-21,1.0094968064523882
2022-09-22,1.0011820887918557
2022-09-23,1.0511145775631583
2022-09-24,1.027294954874178
2022-09-25,1.0141002479825596
2022-09-26,0.9919491371249922
2022-09-27,1.0075488244925703
2022-09-28,1.0052625572133491
2022-09-29,1.012788463489256
2022-09-30,1.0040343644845298
2022-10-01,1.0128107809575861
2022-10-02,0.9986401169408342
2022-10-03,0.9976799059189946
2022-10-04,1.0367081110409895
2022-10-05,0.9586012592736352
2022-10-06,0.9776149071900048
2022-10-07,0.9730804005415308
2022-10-08,0.9692967918867464
2022-10-09,0.9498560184997077
2022-10-10,0.929340232403178
2022-10-11,0.8933699755211493
2022-10-12,0.9122827967439873
2022-10-13,0.8928391252955996
2022-10-14,0.9002703055061353
2022-10-15,0.896096183263938
2022-10-16,0.8894119431275339
2022-10-17,0.9121389042190815
2022-10-18,0.9616639526051108
2022-10-19,0.9063535741743097
2022-10-20,0.8733026801780955
2022-10-21,0.87197472011129
2022-10-22,0.8865013115115619
2022-10-23,0.885126680362827
2022-10-24,0.8921756654090922
2022-10-25,0.871104521849142
2022-10-26,0.9068730856588548
2022-10-27,0.9118900860937044
2022-10-28,0.8916159223366704
2022-10-29,0.9282368785267131
2022-10-30,0.9270764281915216
2022-10-31,0.9463231735701909
2022-11-01,0.9094080636198049
2022-11-02,0.9081462185988618
