Date,TZERO
2023-02-01,3769839.433542651686
2023-02-02,1523520.444584855897
2023-02-03,827586.266641674488
2023-02-04,567829.156364511764
2023-02-05,2517466.793705011851
2023-02-06,1557125.20782018045
2023-02-07,894873.834764722613
2023-02-08,13455875.437511167614
2023-02-09,5798158.011463919924
2023-02-10,4006861.529029018157
2023-02-11,3763030.547056569707
2023-02-12,2689045.279281610708
2023-02-13,5578248.697047395558
2023-02-14,4644877.045803126022
2023-02-15,6607382.291495246278
2023-02-16,2807051.479183541375
2023-02-17,3788675.259090138489
2023-02-18,7827904.999097681363
2023-02-19,5999951.770272429408
2023-02-20,5990123.445847835992
2023-02-21,7190727.524541573564
2023-02-22,14977384.161245742806
2023-02-23,3230364.424548911044
2023-02-24,3101547.777644897469
2023-02-25,7893679.137439409362
2023-02-26,4960675.356714640367
2023-02-27,3755036.278657050827
2023-02-28,4959381.523682257939
2023-03-01,5204882.235019813503
2023-03-02,3250976.40788436551
2023-03-03,5747925.282982499154
2023-03-04,3067793.990590796677
2023-03-05,4056353.894731053853
2023-03-06,3749627.752154706144
2023-03-07,1751827.976025734405
2023-03-08,8171917.165951658816
2023-03-09,2129770.37314432185
2023-03-10,7098051.232558370358
2023-03-11,5867341.652240115761
2023-03-12,3624830.729125635438
2023-03-13,4622271.286823440772
2023-03-14,5414281.737452330287
2023-03-15,2202216.928536532601
2023-03-16,5317249.42835730676
2023-03-17,10499627.847337441338
2023-03-18,7730409.349224388502
2023-03-19,24652180.599853563323
2023-03-20,15148722.260055224711
2023-03-21,17369089.418695950195
2023-03-22,22159012.393046764765
2023-03-23,20430082.159911878936
2023-03-24,12637843.598710217514
2023-03-25,30127661.362387065709
2023-03-26,42440697.081264105406
2023-03-27,18784796.712847136421
2023-03-28,6382036.015072417135
2023-03-29,23419874.002937383449
2023-03-30,9296947.081436163408
2023-03-31,9261650.356278337968
2023-04-01,7259604.063613944485
2023-04-02,54732095.200286485371
2023-04-03,4879607.215605234294
2023-04-04,5101096.665958771358
2023-04-05,5257294.978794512966
2023-04-06,4150793.932551383232
2023-04-07,4265839.395024018586
2023-04-08,2868182.710430692094
2023-04-09,1713838.478222872974
2023-04-10,1443614.667284160748
2023-04-11,1838485.713618705692
2023-04-12,1500426.326842150675
2023-04-13,1878263.181061342969
2023-04-14,1210542.747156588016
2023-04-15,3337176.878413298531
2023-04-16,883216.885202000505
2023-04-17,1155682.626208603074
2023-04-18,773699.315468362041
2023-04-19,1258195.577883181934
2023-04-20,1343291.2361232396
2023-04-21,1083786.985270658663
2023-04-22,603890.064122068017
2023-04-23,620062.863671780821
2023-04-24,1857793.978945841393
2023-04-25,885572.04961616122
