Transfer ID,From,To,Amount,Block Timestamp
3194120800008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,760,2023-05-24 16:12:23
3194129800002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,580000,2023-05-24 16:13:53
3194129800008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,1160,2023-05-24 16:13:53
3194133900010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,507254.444977559158,2023-05-24 16:14:34
3194133900011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,1026.830860278459,2023-05-24 16:14:34
3194135800010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,390795.577967703001,2023-05-24 16:14:53
3194135800011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,791.084165926524,2023-05-24 16:14:53
3194138400010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,259183.917184145539,2023-05-24 16:15:19
3194138400011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,524.663799967905,2023-05-24 16:15:19
3194139900010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,159220.809727386437,2023-05-24 16:15:34
3194139900011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,322.309331431956,2023-05-24 16:15:34
3194143700010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,122988.710795139601,2023-05-24 16:16:12
3194143700011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,248.965001609594,2023-05-24 16:16:12
3194146000010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,79028.442572428226,2023-05-24 16:16:35
3194146000011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,159.976604397627,2023-05-24 16:16:35
3194149300010,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,53897.916509109812,2023-05-24 16:17:08
3194149300011,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,109.105094147995,2023-05-24 16:17:08
3194155700002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,6455708.50404511744,2023-05-24 16:18:12
3198643600004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,6455708.504045117125,2023-05-25 04:56:53
3208942400002,5EfB9nTaRx4ZPVnoTsCXmt7KzTA2J7RtCV3Tk45r6aM7HCxG,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,4611.220360032199,2023-05-27 11:32:00
3208942400010,5EfB9nTaRx4ZPVnoTsCXmt7KzTA2J7RtCV3Tk45r6aM7HCxG,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,0.00544,2023-05-27 11:32:00
3208944500002,5EfB9nTaRx4ZPVnoTsCXmt7KzTA2J7RtCV3Tk45r6aM7HCxG,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,1530,2023-05-27 11:32:26
3208944500008,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5FfAxSi36CspDHo6eQWovJXd5L8qGM4vHv6WJvMvUiBT2oWG,3.06,2023-05-27 11:32:26
3224699400002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,4740881.078838616064,2023-05-29 14:02:31
3224701600004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,4740881.078838616379,2023-05-29 14:02:54
3224704700002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,6637233.510374043648,2023-05-29 14:03:28
3224706500004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,6637233.51037404333,2023-05-29 14:03:47
3224707800004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,0.000000000317,2023-05-29 14:04:01
3224710200002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5689057.294606273536,2023-05-29 14:04:27
3224711400004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5689057.294606273218,2023-05-29 14:04:40
3224712500004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,0.000000000317,2023-05-29 14:04:52
3224714900002,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,4740881.078838520832,2023-05-29 14:05:17
3224719300004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,4740853.541782202276,2023-05-29 14:06:05
3224720600004,5GF5Ab1REfE9CFSxFSWenuHccS4wuq6KPCP17GM4Wcvvt8hx,5GEZzqx7Rq11ic3oSgyMrf24bBiaUrGqmxthSBrgfXLxcoah,27.537056318553,2023-05-29 14:06:19
