Validator,Self-Bonded(AZERO),Total Bonded(AZERO),Nominators,Commission,Grandpa Vote,Reward Point,Latest Mining
5E6tsZXDZm4omCaR9bjrvbWrgBrNvGtdzGSbuFgBcvqz7PBN,"25,000","202,154.09429384686",10,5.00%,0,312935,91000762
5G1cwdkxXct9ZbF7JAeBVWMXzmRzEHL45tzs47Ws7cxnSRk5,"138,674.81561681532","171,654.38928947146",3,5.00%,0,265720,91003487
5CiFjvz8thYqiNFi236aCSp7wstmkA6ks6sHMbmcKjYVQzsc,"45,589.87987727046","151,484.34586037988",31,5.00%,0,234500,91002584
5GULs96K2Z3xgumyd8Wp8gGaQBsky1rYJ92yABz3ddupnS3q,"37,111.52661960698","142,817.0737380546",10,5.00%,0,221060,91003467
5ELjha8eeVEg8JCbztkFYFmNC2nYHLUPfC5GBquYPC1LTfK2,"25,001","137,533.51124651198",6,5.00%,0,212905,91004121
5Dvz8NAPs2L3YBGTRfn1uyJxXFiGgXLbPU7LBp7TQr7iMEQf,"25,441.8472669564","129,458.12589873736",4,5.00%,0,200410,91003496
5HGJF4FoTx1MK2JKUSBSEWVoz2uhzyWHjk4Ye3DTZPeK96fX,"25,040.73084076602","125,785.6145137557",6,5.00%,0,194705,91003478
5HWQxs6cpDTur1qTVcEGjHFbqY3qLN11vyVEbpLJJUmbcgPg,"34,446.6505752108","125,324.65446145234",15,5.00%,0,194005,91003464
5EFD4z93FCt8Vv9YRJRvf1Sy4N3FTeMSdCQEJ8y5f6cxB5Pw,"25,002","111,608.81816853112",6,5.00%,0,172760,91002576
5FBka2pNcvjWVatUnpVySSveF8onJAyva1g17zAvqcyqfsum,"26,542.19104015042","111,380.16719492558",20,5.00%,0,172410,91003457
5FiDhGe22aj5LoEQgXLMtg1TneKeikysf72HDKkcAS6xnNMH,"25,000","107,344.89021531074",6,5.00%,0,166180,91002591
5DEu6VG3WkJ1rdPadU4SffSse4sodA5PUE4apnw74c451Lak,"25,000.00001","99,157.01812612824",12,5.00%,0,153475,91002556
5FpSBDijZV7yVBdyMRNAGnYuejaoXqypHr5mtonWcjonCJHi,"30,684.66736529096","96,991.12031684156",4,5.00%,0,150150,91000760
5H6XY6h4ACuRdkqsxApaLkoVNZJiAQUAggD5PuVNKkwGNJbg,"25,009.48426264208","96,821.05609499006",11,5.00%,0,149870,91004093
5EtXMQFPWu3UswKnDtGrSwv63ZFGzc5z7YjAMJaoi7jzKHDB,"32,424.77645287162","91,050.13199530586",8,5.00%,0,140945,91002570
5DfCBWqovj9jrpfTSs9qGmPZAg5ZC48MJUFeq4JPzmzonfFa,"49,188.12176768896","80,350.38591119912",5,5.00%,0,124390,91000795
5EbbxSnnXA5GE8fKUZhpzkn7pi2SkiscAJX7pk7fAS5NF68M,"31,170.54373580924","71,297.79060376064",5,5.00%,0,110355,91002597
5F73AtLJPKJfyyenPLjfx4PqHbw4s6yCfysMFfkXfsWv15nm,"25,041.7474734823","69,776.73669772734",3,5.00%,0,108010,91004092
5G4eZ9sLq8dT9mw7e6Z2HSU24JbYa4Zx5VSEkdpXDom3mQNi,"65,318.579188494","65,318.579188494",0,5.00%,0,101115,91001673
